name,code,cooperative,district,sub_county,parish,village,contact_person,phone_number,is_vsla,created_at
Yoo Leng farmers group - Omot,896,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Omot,,0778374711,,21-07-2023
Bed imar mixed farmers group - Cawente,897,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Cawente,,0775475560,,21-07-2023
Can Dag Wackom farmers group - Cawente,898,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Cawente,,0775296711,,21-07-2023
Note en teko farmers group - Akwil,899,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Akwil,,0773623950,,21-07-2023
Oryem Ki Kweri farmers group - Omot,900,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Omot,,0783561489,,21-07-2023
Atek ki lwak farmers group - Guruguru,901,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal Ward,Guruguru,,0764538513,,21-07-2023
Obangamio women's group - Wangaomari,902,OLWORNGU PDM SACCO,Otuke,Okwang,Olworngu,Wangaomari,,0764961907,,21-07-2023
Tuk arom women's group - Barabolo,903,OLWORNGU PDM SACCO,Otuke,Okwang,Olworngu,Barabolo,,0764427941,,21-07-2023
Tam pir waa women's group - Barabolo,904,OLWORNGU PDM SACCO,Otuke,Okwang,Olworngu,Barabolo,,0786582431,,21-07-2023
RWOT TELOYO CANAN  VLSA GROUP - TYER,905,Pader Shea butter cooperative,Pader,Pader,Tyer,TYER,,0783177681,,21-07-2023
Teachers Farmers group Lango Omuk,906,Dano aye lonyo,Kitgum,Lalano,Aloto,Lango Omuk,,0770777459,,21-07-2023
Can deg Lworo,907,GOT OJWANG - OLILIM PDM SACCO,Otuke,Olilim,Gotojwang,Kwoyo atar,,0775834100,,21-07-2023
Ribber Aye Teko Lango Omuk,908,Dano aye lonyo,Kitgum,Lalano,Aloto,Lango Omuk,,0770769326,,21-07-2023
ORYEM CAN KWERI FARMERS GROUP -Pe-Ngabe society,909,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Pe-Ngobe society,,0788993319,,21-07-2023
Waroc kwo vsla -Namirembe,910,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Namirembe,,0775732670,,21-07-2023
Binen -Te-Atika Farmer Group -Pe-Ngabe society,911,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Pe-Ngobe society,,0770921860,,21-07-2023
Bed Ki Mar Farmer Group -kalangore North,912,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Kalangora North,,0764595599,,21-07-2023
Rwot twero VSLA Pagen West,913,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Pagen West,,0780165655,,22-07-2023
Ter yiti Farming group Lalwal,914,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lalwal,,0775196151,,22-07-2023
Pit Odong ki Mon VSLA Lalwal,915,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lalwal,,0776800835,,22-07-2023
Lanyeko Bwole,916,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lalwal,,0771890988,,22-07-2023
Gen Kori VSLA gweng Ajut,917,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Gweng Ajut,,0781469011,,22-07-2023
Kica ber farmers group - Alam B,918,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Alam B,,0783407871,,22-07-2023
Acan Pe Nyoye farmers group - Akongo,919,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Akongo,,0778848592,,22-07-2023
Bed igen farmers group - Agweng,920,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Agweng,,0772953505,,22-07-2023
Par pi Anyim farmers group - Apit,921,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Apit,,0760461403,,22-07-2023
Areda farmers group - Kamdini,922,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Kamdini,,0785309625,,22-07-2023
Woro en Ryeko farmers group - Barawobe,923,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Barawobe,,0783193264,,22-07-2023
Obangaomara farmers group - Alam B,924,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Alam B,,0762183883,,22-07-2023
Abongower Youth saving & business association - Ager,925,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Ager,,0784561877,,22-07-2023
Atimango wek abed kwo farmers group - Omot East,926,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Omot East,,0776394135,,22-07-2023
Lubanga tek farmers group - Omot East,927,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Omot East,,0770550669,,22-07-2023
Obangamio farmers group - AbedoBer,928,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,AbedoBer,,0783646435,,22-07-2023
Dii cwinyi Girls and Women's group - Abedober,929,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Abedober,,0760955595,,22-07-2023
Kica A Rwot farmers group - Owolo,930,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Owolo,,0785416232,,22-07-2023
Obangaber 2 farmers group - Owolo,931,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Owolo,,0779706229,,22-07-2023
Obangamio-Agelec farmers group - Akwil,932,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Akwil,,0789266121,,22-07-2023
Noteber mixed farmers group - Cawente,933,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Cawente,,0777224443,,22-07-2023
Acwec Amio farmers group - Abedo`ber,934,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Abedo`ber,,0782139965,,22-07-2023
Par pi Anyim farmers group - Cawente,935,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Cawente,,0772312587,,22-07-2023
Obangatwero farmers group - Cawente,936,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Cawente,,0789437158,,22-07-2023
Cam badi farmers group - Omot East,937,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Omot East,,0787409163,,22-07-2023
Obangber farmers group - Owolo,938,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Owolo,,0777393848,,22-07-2023
Par pi diki keken wome's group - Owolo,939,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Owolo,,0761758901,,22-07-2023
Wagen Keken mixed farmers group - Abedober,940,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Abedober,,0788314408,,22-07-2023
Wakem kwene farmers Youth group - Agelec,941,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Agelec,,0774922143,,22-07-2023
Oryemcan mixed farmers group - Apioguru,942,AGELEC-ARUM PDM SACCO,Agago,Arum,Agelec,Apioguru,,0780778225,,22-07-2023
Deg Ayella VSLA Pagen Central,943,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Pagen Central,,0777804254,,22-07-2023
Cam ki wadu farmers group - Logolo C,944,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal Ward,Logolo C,,0775523787,,22-07-2023
Mak tic women's group - Logolo C,945,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal Ward,Logolo C,,0764551664,,22-07-2023
Ribber Aye Teko paibwor North,946,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor North,,0784396101,,22-07-2023
Can Deg Awaka Paibwor North,947,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor North,,0783441796,,22-07-2023
Olwedo B famers group - Adyang,948,ABUKAMOLA PDM SACCO LTD,Alebtong,Omoro,Abukamola,Adyang,,0777476164,,23-07-2023
Rubanga twero vsla and farmers group - Ladigu,949,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Ladigu,,0763406434,,23-07-2023
Lim welp vsla and farmers group - Ladigu,950,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Ladigu,,0789239040,,23-07-2023
Anyim lac vsla and farmers group - Ladigu,951,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Ladigu,,0786455324,,23-07-2023
Can dek kere farmers group - Aleda South,952,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Aleda South,,0779946875,,23-07-2023
Mak tic vsla and farmers group - Olekwire,953,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Olekwire,,0781191191,,23-07-2023
Anyim lac produce dealer - Ladigu,954,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Ladigu,,0787917263,,23-07-2023
Kwor aye pur farmers group - Aleda West,955,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Aleda West,,0761396254,,23-07-2023
Ageno anga farmers group - Rugurugu,956,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pabala,Rugurugu,,0775254380,,23-07-2023
BUR LOBO UNITED GROUP - BURLOBO,957,Dano aye lonyo,Kitgum,Lagoro,Laber,BURLOBO,,0774890307,,23-07-2023
Burlobo United Group,958,Dano aye lonyo,Kitgum,Lagoro,Laber,Burlobo,,0774890307,,23-07-2023
Wakumu Can Catering Services-kalangore,959,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Kalangora,,0774551123,,23-07-2023
Ber Bedo Loyo Lonyo Farmers group Paibwor East,960,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor East,,0779517175,,23-07-2023
Bed ki Nikuru Paibwor South,961,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor South,,0780532019,,23-07-2023
Orib Can Vsla -kalangore South,962,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Kalangore south,,0762823881,,23-07-2023
Omar Rwot- Pengape lamin Okiga,963,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Pengape lamin Okiga,,0778532701,,23-07-2023
Tute pi Anyim farmers group - Anyang,964,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Anyang,,0789310658,,23-07-2023
Note Aye Teko farmers group - Lwala,965,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Lwala,,0778692678,,23-07-2023
Atim Ki koma farmers group - Anyang,966,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Anyang,,0783575887,,23-07-2023
Abak Otwomere farmers group - Anyang,967,APWOR - PURANGA PDM SACCO,Pader,Puranga,Apwor,Anyang,,0782036691,,23-07-2023
Namirembe Rice Growers -Namirembe,968,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Namirembe,,0773421752,,23-07-2023
Okumcan Catering Association -kalangore north,969,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Kalangore North,,0777641333,,23-07-2023
ACEK-KENE FARMERS GROUP - Acekene,970,Agwel puranga PDM SACCO,Pader,Puranga,Agwel,Acekene,,0776836642,,23-07-2023
Ongany rice central women's group - Kalangore north,971,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Kalangore north,,0789005366,,23-07-2023
Alebelebe farmers group - Aling,972,Oculokori PDM Sacco ltd,Alebtong,Omoro,Oculokori,Aling,,0777569759,,23-07-2023
Lacwec Omiyo Paibwor East,973,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor East,,0777920830,,23-07-2023
Mak Tic VSLA.Paibwor Central,974,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor Central,,0782299595,,23-07-2023
Nen Anyim farmer's group - Teko,975,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Teko,,0773056872,,24-07-2023
Rwot Akica women's group - Barawobe,976,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Barawobe,,0782193421,,24-07-2023
Acamo Tamo farmer's group - Adwei,977,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Adwei,,0771574087,,24-07-2023
Can Onoto Wa produce dealers - Aringolela,978,ABONGOWER PDM SACCO,Otuke,Okwang,Abongower,Aringolela,,0771382278,,24-07-2023
Abineni Piggery Group Pagen Central,979,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor Central,,0777526q58,,24-07-2023
Mac Tic Paibwor Central,980,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor Central,,0760028400,,24-07-2023
Tem Gemi Farmers group Logolo,981,Dano aye lonyo,Lamwo,Palabek-Kal,Kal Ward,Logolo,,0775844714,,24-07-2023
Jing Komi Ikin Lwak,982,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Gweng Ajut,,0781418310,,24-07-2023
CING LONYO farmers group - Logolo,983,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal Ward,Logolo,,0777664736,,24-07-2023
Rubanga Ngeyo Mixed farmers group Paibwor south,984,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor South,,0774504217,,24-07-2023
Berbedo Loyo Lonyo Paibwor East,985,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor west,,077951705,,24-07-2023
Gen Badi Youth Group -ladigu,986,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Kal Ward,Ladigu,,0789234588,,25-07-2023
Lacan pe kun-Biwang,987,Pader Shea butter cooperative,Pader,Pader,Kilak,Biwang,,0773348763,,25-07-2023
Kom pe Tum Vsla otengo,988,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Otengo,,0789691221,,25-07-2023
Can coya -otengo,989,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Otengo,,0787229300,,25-07-2023
Ojoga ayee Rwot- olel,990,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Olel,,0772374704,,25-07-2023
Kica ber mixed farmers groups - Lapono muk,991,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Lapono muk,,0779472548,,25-07-2023
Warib cingwa farmers groups -otengo,992,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Otengo,,0760785748,,25-07-2023
Akuru kwee mixed farmers groups -olel,993,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Olel,,0779284423,,25-07-2023
Ojoga Ayee Rwot- Lapono muk,994,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Lapono muk,,0786779193,,25-07-2023
Ojoga Ayee Rwot- Lapono muk,995,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Lapono muk,,0786779193,,25-07-2023
Achol Pii New life -Olel,996,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Olel,,0776133600,,25-07-2023
Achol Pii New life -Olel,997,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Olel,,0776133600,,25-07-2023
Winye Ber Pagen East,998,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Pagen East,,0778164403,,25-07-2023
Tute pi pit Farmers group Kal,999,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal Ward,Kal,,0782560445,,25-07-2023
Bed ki Kica Farmers group Logolo,1000,Lamwo Shea Nut Farmers Association,Lamwo,Palabek Kal Town Council,Kal,Logolo C,,0764851902,,25-07-2023
Tiki Wii -ladigu,1001,Parabong Oil Seed Co-op Ent,Agago,Lokole,Ngudi,Lagudi,,0785544557,,26-07-2023
Pit tek.VSLA Abalokodi,1002,APWOR - PURANGA PDM SACCO,Pader,Puranga,Laminajiko,Abalokodi,,0758565514,,26-07-2023
Orib Cing farmers group Kulu Obiya,1003,Laminocwida-Puranga PDM SACCO LTD,Pader,Puranga,Laminocwida,KuluObiya,,0783932868,,26-07-2023
Onaa i tam farmers group Tee Obwolo,1004,Oret puranga PDM SACCO,Pader,Puranga,Odum,Tee Obwolo,,0763101142,,26-07-2023
Tam Ber VSLA Paibwor west,1005,Dano aye lonyo,Kitgum,Labongo-Layamo,Paibwor,Paibwor west,,0771617248,,26-07-2023
Adongo ken farmers groups -olokiwinyo,1006,ACHOL-PII PDM SACCO,Agago,,Achol-Pii,Olokiwinyo,,0780234401,,26-07-2023
Otimikomwa VSLA Baroline Arwotngo,1007,OLUPE OPONG RIVER BANK WECS,Kitgum,Okwang,Arwotngo,Barlwala,,0787107380,,27-07-2023
Barlwala Fish Farmers group Barlwala,1008,OLUPE OPONG RIVER BANK WECS,Kitgum,Okwang,Arwotngo,Barlwala,,0761303339,,27-07-2023
Barolimo VSLA Group,1009,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Barolimo,,0762796910,,27-07-2023
Note En Teko,1010,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Barolimo,,0771328293,,27-07-2023
Obanga Akica Barolimo,1011,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Barolimo,,0777733245,,27-07-2023
Akemokoch Market Borehole VSLA Akemokoch,1012,Pader Shea butter cooperative,Pader,Pader,Tyer,Akemokoch,,0780886723,,27-07-2023
Tyer taxi oprators drivers Association Akemokoch,1013,Pader Shea butter cooperative,Pader,Pader,Tyer,Akemokoch,,0774044465,,27-07-2023
Jing Komi VSLA Akemokoch,1014,Pader Shea butter cooperative,Pader,Pader,Tyer,Akemokoch,,0784233125,,27-07-2023
Lacan pe kun farmers and VSLA Akemokoch,1015,Pader Shea butter cooperative,Pader,Pader,Tyer,Akemokoch,,0789809485,,27-07-2023
Pekoyo cartering group  and VSLA Akemokoch,1016,Pader Shea butter cooperative,Pader,Pader,Tyer,Akemokoch,,0784556325,,27-07-2023
Wakuru Kwe VSLA Akemokoch,1017,Pader Shea butter cooperative,Kitgum,Pader,Tyer,Akemokoch,,0783755740,,27-07-2023
Lutwo Tute VSLA Akemokoch,1018,Pader Shea butter cooperative,Pader,Pader,Tyer,Akemokoch,,0786251749,,27-07-2023
Mar en note Barolimo,1019,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Barolimo,,0778851402,,27-07-2023
Watute pi kwo farmers group Lamugu,1020,Dano aye lonyo,Kitgum,Labongo-Layamo,Pamolo,Lamugu,,078819386y,,28-07-2023
Mego Lapit VSLA Pamolo Olet,1021,Dano aye lonyo,Kitgum,Labongo-Layamo,Pamolo,Pamolo Olet,,0765120209,,28-07-2023
Gum pe ron VSLA Pamolo Olet,1022,Dano aye lonyo,Kitgum,Labongo-Layamo,Pamolo,Pamolo Olet,,0762100538,,28-07-2023
Bed Akice -Akong,1023,ABONGOWER PDM SACCO,Otuke,Akwang,Akuna,Akong,,0764794623,,28-07-2023
Acengene womens group Baralegi B,1024,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,BaralegiB,,0770738450,,28-07-2023
Bed Akica VSLA Akongo Village,1025,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Akongo Village,,0764796234,,28-07-2023
Pit pa mego VSLA Lemo Gweng Ajut,1026,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lemo Geng Ajut,,0786558811,,28-07-2023
Dii Cwiny Youth group pamolo olet,1027,Dano aye lonyo,Kitgum,Labongo-Layamo,Pamolo,Pamolo Olet,,0771968162,,28-07-2023
Veteran Association Baralegi village,1028,Dano aye lonyo,Otuke,Okwang,Arwotngo,Baralegi A,,0776883790,,28-07-2023
Kony Paco Womens group Akano,1029,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Akano,,0781132979,,28-07-2023
Obanga en Mar VSLA Anyang Village,1030,APWOR - PURANGA PDM SACCO,Otuke,Puranga,Apwor,Anyang Village,,0774498160,,28-07-2023
Veteran Association Group -Baralegi,1031,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Baralegi,,0776883790,,28-07-2023
Acangene Women Group -Baralegi,1032,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Baralegi,,0770738450,,28-07-2023
Konypacu Women Group -Akano,1033,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Akano,,0781132979,,28-07-2023
Ware Keni womens Group Barakeo,1034,GOT OJWANG - OLILIM PDM SACCO,Otuke,Olilim,Gotojwang,Barakeo,,0789503511,,28-07-2023
Pe Adede farmers group Apatee Village,1035,APWOR - PURANGA PDM SACCO,Otuke,Olilim,Gotojwang,Apatee Village,,0771859407,,28-07-2023
Alula Adwong womens group,1036,GOT OJWANG - OLILIM PDM SACCO,Otuke,Olilim,Gotojwang,Alula Adwong,,0773391402,,28-07-2023
Lacan Pe Kun Farmers group Laberdog Onyany,1037,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Laberdog,,0700873223,,28-07-2023
Wilobo Pe Yot Farmar-kalangore North.,1038,ONGANY PADER PDM SACCO,Otuke,Pader,Ongany,Kalangore North,,0787420774,,28-07-2023
Pe Idol Cinge Farmer Group -kalangore south,1039,ONGANY PADER PDM SACCO,Otuke,Pader,Ongany,Kalangore south,,0785108509,,28-07-2023
Tii Ki Komi Farmer Group -kalangore North,1040,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Kalangore North,,0777465636,,28-07-2023
Can Coya Farmer Group -Tangi,1041,ONGANY PADER PDM SACCO,Pader,,Ongany,Tangi,,0773057202,,28-07-2023
Jing Komi VSLA Lelamur,1042,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lelamur,,0776373695,,28-07-2023
Can Mito Farmer Group -lapeta,1043,Dano aye lonyo,Lamwo,Palabek-Kal,Lapeta,Lapeta,,0774850009,,28-07-2023
Bed Ki Gen Lelamur,1044,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lelamur,,0760570443,,28-07-2023
Deg Dic women Group Lelamur,1045,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lelamur,,0777585445,,28-07-2023
Lacan Kwo Ki Lwete Lelamur,1046,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagen,Lelamur,,0776002810,,28-07-2023
Lapur Oyeng VSLA Ocettoke west,1047,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke West,,0775801773,,28-07-2023
Dii Cwinyin VSLA Ocetoke North,1048,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke North,,0772991687,,28-07-2023
Bed ki Noki VSLA Ocetoke North,1049,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke North,,0780555235,,28-07-2023
WankonO VSLA Ocetoke North,1050,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke North,,0785497718,,28-07-2023
Borehole Vsla group -okodi,1051,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Okodi,,0788699990,,29-07-2023
Obanga Kene group -Alumeri,1052,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Alumeri,,0778200350,,29-07-2023
Acwec Amio Vsla group -Alumeri,1053,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Alumeri,,0788559644,,29-07-2023
Wotanyim Vsla group -Alumeri,1054,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Alumeri,,0771010178,,29-07-2023
Miiwikonyi Vsla group -tetugu,1055,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,Tetugu,,0760724017,,29-07-2023
OKODI BOREHOLE GROUP,1056,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,OKODI,,0788699990,,29-07-2023
OBANGA KENE GROUP,1057,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,ALUMERI,,0778200350,,29-07-2023
ACWEC AMIO GROUP,1058,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,OKODI,,0788559644,,29-07-2023
WOTANYIM GROUP,1059,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,AKULLU MOLLY,,077101078,,29-07-2023
WOTANYIM GROUP,1060,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,ALUMERI,,077101078,,29-07-2023
ALIMODIT JOINT GROUP,1061,ARWOTNGO PDM SACCO,Otuke,Okwang,Arwotngo,TETUGU,,0782433165,,29-07-2023
MIIWIKONYI GROUP,1062,ARWOTNGO PDM SACCO,,Okwang,Arwotngo,TETUGU,,0760724017,,29-07-2023
Jing Komi women group -Olel,1063,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Olel,,0763117288,,29-07-2023
Mar Ber Farmer Group -lagwai East,1064,ONGANY PADER PDM SACCO,Pader,Pader,Lagwai Ward,Lagwai East,,0776818093,,29-07-2023
Acholpii United farmer group -Olel,1065,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Olel,,07816664350,,29-07-2023
Wakony Paco farmer group -laponomuk,1066,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Laponomuk,,0762433691,,29-07-2023
Adag Can farmer group -laponomuk,1067,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Laponomuk,,0778493102,,29-07-2023
Par Cani farmer group -Atenge,1068,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Atenge,,0772657901,,29-07-2023
Tii Meri Women Group -Atenge,1069,ACHOL-PII PDM SACCO,Agago,Arum,Achol-Pii,Atenge,,0760265589,,29-07-2023
Waloko Kwo vsla -Tangi,1070,ONGANY PADER PDM SACCO,Pader,Pader,Ongany,Tangi,,0750465973,,29-07-2023
Can lit VSLA Lalwal East,1071,Pader Shea butter cooperative,Pader,Pader,Kilak,Lalwal East,,0761242631,,29-07-2023
Lacan pe ki nyero VSLA Agora,1072,Pader Shea butter cooperative,Pader,Pader,Kilak,Agora,,0782433409,,29-07-2023
Oryemocan Farmers field school network,1073,Pader Shea butter cooperative,Pader,Pader,Ogwil,Lalwal West,,0776529477,,29-07-2023
Wu nen anyim,1074,Lamwo Shea Nut Farmers Association,Lamwo,Palabek-Kal,Patanga,Kapeta,,0774856532,,29-07-2023
Mon ber farmers group Lakwa,1075,Lamwo Shea Nut Farmers Association,Lamwo,Palabek-Kal,Patanga,Lakwa,,0760526542,,29-07-2023
Can mito diro,1076,Lamwo Shea Nut Farmers Association,Lamwo,Palabek-Kal,Patanga,Kapeta,,0774850009,,29-07-2023
Waloko kwo VSLA,1077,Pader Shea butter cooperative,Pader,Pader,Ongany,Tangi,,0750465973,,29-07-2023
Pit Pa Mego Lemo Gweng Ajut,1078,Dano aye lonyo,Kitgum,Labongo-Layamo,Pagwa Ward,Lemu Gweng Ajut,,0786558858,,30-07-2023
Diicwiny Youth Group Pamolo Olet,1079,Dano aye lonyo,Kitgum,Labongo-Layamo,Pamolo,Pamolo Olet,,0771968162,,30-07-2023
Holy cross VSLA Ocetoke West,1080,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke West,,0770659646,,30-07-2023
Lacwec pe ol' VSLA Ocetoke Central,1081,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke Central,,0764710934,,30-07-2023
Tim kikomi VSLA Ocetoke West,1082,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke West,,0776567394,,30-07-2023
Wacung guidance farmers Ocetoke Central,1083,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke Central,,0783267773,,30-07-2023
Ben Anyim Ocetoke Central,1084,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke Central,,0773835405,,30-07-2023
Rwot Ber Ocetoke Central,1085,Dano aye lonyo,Kitgum,Labongo-Layamo,Ocetoke,Ocetoke Central,,0778055234,,30-07-2023
Ma ice lo VSLA Oyuto village,1086,APWOR - PURANGA PDM SACCO,Pader,Pader Town Council,Apwor,Oyuto,,0785554925,,30-07-2023
Igomo Farmers group Ober,1087,ABUKAMOLA PDM SACCO LTD,Otuke,Omot,Abukamola,Ober,,0765401928,,30-07-2023
Wajingu Kom Wa farmer group -Kwila,1088,Lokole cooperative,Agago,Lokole,Olung,Kwila,,0777048248,,30-07-2023
Opor Weggi group -Akwil,1089,AGELEC-ARUM PDM SACCO,Agago,Arum,,Akwil,,0788360245,,30-07-2023
